subject,region,n_electrodes,condition,layer,model,observed_r2,p_value,n_permutations_used
1,G_and_S_cingul-Ant,12,GNS,last,BERT,-0.25897109508514404,0.8671328671328671,1000
1,G_and_S_cingul-Ant,12,GNS,last,GPT,-0.14934241771697998,0.1028971028971029,1000
1,G_and_S_cingul-Ant,12,GNS,last,T5,-0.20918035507202148,0.6733266733266733,1000
1,G_and_S_cingul-Ant,12,NGNS,early,BERT,-0.006908059120178223,0.5194805194805194,1000
1,G_and_S_cingul-Ant,12,NGNS,early,GPT,-0.10417425632476807,0.36663336663336665,1000
1,G_and_S_cingul-Ant,12,NGNS,early,T5,-0.3356257677078247,0.45254745254745254,1000
1,G_and_S_cingul-Ant,12,NGNS,middle,BERT,-0.019359707832336426,0.48151848151848153,1000
1,G_and_S_cingul-Ant,12,NGNS,middle,GPT,-0.11672341823577881,0.3856143856143856,1000
1,G_and_S_cingul-Ant,12,NGNS,middle,T5,-0.3010932207107544,0.4035964035964036,1000
1,G_and_S_cingul-Ant,12,NGNS,late,BERT,-0.018189549446105957,0.4175824175824176,1000
1,G_and_S_cingul-Ant,12,NGNS,late,GPT,-0.11709463596343994,0.3726273726273726,1000
1,G_and_S_cingul-Ant,12,NGNS,late,T5,-0.30462372303009033,0.3926073926073926,1000
1,G_and_S_cingul-Ant,12,NGNS,last,BERT,-0.021286487579345703,0.5394605394605395,1000
1,G_and_S_cingul-Ant,12,NGNS,last,GPT,-0.10777115821838379,0.38461538461538464,1000
1,G_and_S_cingul-Ant,12,NGNS,last,T5,-0.011614799499511719,0.5944055944055944,1000
1,G_front_inf-Opercular,6,overall,early,BERT,-0.003282904624938965,0.6353646353646354,1000
1,G_front_inf-Opercular,6,overall,early,GPT,-0.05591106414794922,0.8701298701298701,1000
1,G_front_inf-Opercular,6,overall,early,T5,-0.05341660976409912,0.23076923076923078,1000
1,G_front_inf-Opercular,6,overall,middle,BERT,-0.03372299671173096,0.965034965034965,1000
1,G_front_inf-Opercular,6,overall,middle,GPT,-0.07299244403839111,0.8961038961038961,1000
1,G_front_inf-Opercular,6,overall,middle,T5,-0.11939716339111328,0.46853146853146854,1000
1,G_front_inf-Opercular,6,overall,late,BERT,-0.056728482246398926,0.999000999000999,1000
1,G_front_inf-Opercular,6,overall,late,GPT,-0.07337737083435059,0.8731268731268731,1000
1,G_front_inf-Opercular,6,overall,late,T5,-0.06254291534423828,0.23976023976023977,1000
1,G_front_inf-Opercular,6,overall,last,BERT,-0.014926314353942871,0.7652347652347652,1000
1,G_front_inf-Opercular,6,overall,last,GPT,-0.06470763683319092,0.8901098901098901,1000
1,G_front_inf-Opercular,6,overall,last,T5,0.005856633186340332,0.13586413586413587,1000
1,G_front_inf-Opercular,6,a,early,BERT,-0.0882941484451294,1.0,1000
1,G_front_inf-Opercular,6,a,early,GPT,-0.21498644351959229,0.8661338661338661,1000
1,G_front_inf-Opercular,6,a,early,T5,-0.9187431335449219,0.973026973026973,1000
1,G_front_inf-Opercular,6,a,middle,BERT,-0.13450837135314941,0.998001998001998,1000
1,G_front_inf-Opercular,6,a,middle,GPT,-0.2172633409500122,0.7662337662337663,1000
1,G_front_inf-Opercular,6,a,middle,T5,-0.907900333404541,0.9530469530469531,1000
1,G_front_inf-Opercular,6,a,late,BERT,-0.14914536476135254,0.977022977022977,1000
1,G_front_inf-Opercular,6,a,late,GPT,-0.21768641471862793,0.7692307692307693,1000
1,G_front_inf-Opercular,6,a,late,T5,-3.491119861602783,0.8051948051948052,1000
1,G_front_inf-Opercular,6,a,last,BERT,-0.08854341506958008,0.9590409590409591,1000
1,G_front_inf-Opercular,6,a,last,GPT,-0.2005627155303955,0.7772227772227772,1000
1,G_front_inf-Opercular,6,a,last,T5,-0.0616917610168457,0.8771228771228772,1000
1,G_front_inf-Opercular,6,v,early,BERT,-0.020857691764831543,0.8581418581418582,1000
1,G_front_inf-Opercular,6,v,early,GPT,-0.286091685295105,0.8741258741258742,1000
1,G_front_inf-Opercular,6,v,early,T5,-0.8311976194381714,0.8531468531468531,1000
1,G_front_inf-Opercular,6,v,middle,BERT,-0.12054979801177979,0.9820179820179821,1000
1,G_front_inf-Opercular,6,v,middle,GPT,-0.2935894727706909,0.8041958041958042,1000
1,G_front_inf-Opercular,6,v,middle,T5,-0.9160588979721069,0.8411588411588412,1000
1,G_front_inf-Opercular,6,v,late,BERT,-0.15576207637786865,0.9530469530469531,1000
1,G_front_inf-Opercular,6,v,late,GPT,-0.3441615104675293,0.8511488511488512,1000
1,G_front_inf-Opercular,6,v,late,T5,-1.0252406597137451,0.4965034965034965,1000
1,G_front_inf-Opercular,6,v,last,BERT,-0.06585061550140381,0.929070929070929,1000
1,G_front_inf-Opercular,6,v,last,GPT,-0.27908778190612793,0.8461538461538461,1000
1,G_front_inf-Opercular,6,v,last,T5,0.005634725093841553,0.15284715284715283,1000
1,G_front_inf-Opercular,6,GS,early,BERT,-3.1994032859802246,0.995004995004995,1000
1,G_front_inf-Opercular,6,GS,early,GPT,-6.013444423675537,0.99000999000999,1000
1,G_front_inf-Opercular,6,GS,early,T5,-7.228595733642578,0.936063936063936,1000
1,G_front_inf-Opercular,6,GS,middle,BERT,-3.9229941368103027,1.0,1000
1,G_front_inf-Opercular,6,GS,middle,GPT,-6.049746990203857,0.99000999000999,1000
1,G_front_inf-Opercular,6,GS,middle,T5,-6.808609962463379,0.9140859140859141,1000
1,G_front_inf-Opercular,6,GS,late,BERT,-3.9619884490966797,0.9920079920079921,1000
1,G_front_inf-Opercular,6,GS,late,GPT,-6.298734188079834,0.9180819180819181,1000
1,G_front_inf-Opercular,6,GS,late,T5,-11.560229301452637,0.8531468531468531,1000
1,G_front_inf-Opercular,6,GS,last,BERT,-3.122145175933838,0.954045954045954,1000
1,G_front_inf-Opercular,6,GS,last,GPT,-5.788065433502197,0.987012987012987,1000
1,G_front_inf-Opercular,6,GS,last,T5,-2.8853633403778076,0.8981018981018981,1000
1,G_front_inf-Opercular,6,GNS,early,BERT,-0.04620063304901123,0.6883116883116883,1000
1,G_front_inf-Opercular,6,GNS,early,GPT,-0.32579636573791504,0.8001998001998002,1000
1,G_front_inf-Opercular,6,GNS,early,T5,-0.4527655839920044,0.8351648351648352,1000
1,G_front_inf-Opercular,6,GNS,middle,BERT,-0.09675443172454834,0.8341658341658341,1000
1,G_front_inf-Opercular,6,GNS,middle,GPT,-0.42318224906921387,0.8581418581418582,1000
1,G_front_inf-Opercular,6,GNS,middle,T5,-0.46009624004364014,0.8641358641358642,1000
1,G_front_inf-Opercular,6,GNS,late,BERT,-0.09123539924621582,0.7682317682317682,1000
1,G_front_inf-Opercular,6,GNS,late,GPT,-0.42833077907562256,0.8591408591408591,1000
1,G_front_inf-Opercular,6,GNS,late,T5,-0.4174938201904297,0.6883116883116883,1000
1,G_front_inf-Opercular,6,GNS,last,BERT,-0.07401144504547119,0.8741258741258742,1000
1,G_front_inf-Opercular,6,GNS,last,GPT,-0.335077166557312,0.8491508491508492,1000
1,G_front_inf-Opercular,6,GNS,last,T5,-0.04147756099700928,0.7322677322677322,1000
1,G_front_inf-Opercular,6,NGNS,early,BERT,-0.06906354427337646,0.6153846153846154,1000
1,G_front_inf-Opercular,6,NGNS,early,GPT,-0.1397780179977417,0.4855144855144855,1000
1,G_front_inf-Opercular,6,NGNS,early,T5,-0.8737934827804565,0.989010989010989,1000
1,G_front_inf-Opercular,6,NGNS,middle,BERT,-0.17182326316833496,0.929070929070929,1000
1,G_front_inf-Opercular,6,NGNS,middle,GPT,-0.13855063915252686,0.45254745254745254,1000
1,G_front_inf-Opercular,6,NGNS,middle,T5,-0.861513614654541,0.981018981018981,1000
1,G_front_inf-Opercular,6,NGNS,late,BERT,-0.26795387268066406,0.974025974025974,1000
1,G_front_inf-Opercular,6,NGNS,late,GPT,-0.13870251178741455,0.45854145854145856,1000
1,G_front_inf-Opercular,6,NGNS,late,T5,-0.8260766267776489,0.983016983016983,1000
1,G_front_inf-Opercular,6,NGNS,last,BERT,-0.1629805564880371,0.9660339660339661,1000
1,G_front_inf-Opercular,6,NGNS,last,GPT,-0.13126146793365479,0.44955044955044954,1000
1,G_front_inf-Opercular,6,NGNS,last,T5,-0.06832647323608398,0.9100899100899101,1000
1,G_front_middle,3,overall,early,BERT,-0.012442469596862793,0.984015984015984,1000
1,G_front_middle,3,overall,early,GPT,-0.051531434059143066,0.9090909090909091,1000
1,G_front_middle,3,overall,early,T5,-4.177523612976074,0.984015984015984,1000
1,G_front_middle,3,overall,middle,BERT,-0.001283407211303711,0.25374625374625376,1000
1,G_front_middle,3,overall,middle,GPT,-0.04335975646972656,0.6883116883116883,1000
1,G_front_middle,3,overall,middle,T5,-0.7457420825958252,0.8961038961038961,1000
1,G_front_middle,3,overall,late,BERT,8.779764175415039e-05,0.18981018981018982,1000
